Sun And Wind,Sun and No Wind,No Sun and Wind,No Sun and No Wind
-26.253001,-2.455073,-25.778842,-1.804885
-27.476263,-3.967715,-26.078262,-2.024145
-25.561102,-1.225287,-26.227585,-2.133859
-24.831464,-0.058888,-26.525446,-2.353445
-24.539687,0.420692,-26.67398,-2.463314
-23.82741,1.267497,-26.534906,-2.367702
-24.748495,0.052796,-26.544559,-2.382089
-25.651633,-1.254657,-26.396009,-2.272428
-27.165783,-3.14583,-26.67398,-2.463314
-27.542638,-3.477029,-26.952625,-2.655539
-27.960263,-3.86709,-27.231884,-2.849074
-27.486053,-3.390226,-26.927571,-2.614983
-27.319412,-3.348649,-26.630112,-2.394322
-26.673108,-2.735799,-26.173369,-2.050063
-26.260093,-2.355794,-25.864453,-1.816112
-25.786865,-1.899709,-25.562908,-1.59594
-25.437842,-1.613627,-25.251507,-1.362182
-25.426172,-1.607947,-25.307554,-1.44711
-25.558866,-1.69767,-25.520901,-1.645847
-25.780219,-2.000709,-25.578783,-1.723987
-25.91765,-1.998199,-25.842342,-1.89478
-26.284089,-2.405596,-25.959135,-1.958588
-26.392622,-2.360762,-26.227585,-2.133859
-26.191655,-2.179659,-26.078262,-2.024145
-25.920558,-1.99855,-25.778842,-1.804885
-25.98399,-2.180929,-25.62875,-1.695343
-24.189267,0.050889,-25.307554,-1.44711
-23.205465,1.249823,-25.146535,-1.323067
-22.165653,2.407297,-24.833456,-1.089574
-22.17984,2.483281,-25.00516,-1.228177
-23.183414,1.188022,-25.015422,-1.242922
-24.355406,-0.263217,-25.187527,-1.382028
-25.560349,-1.698187,-25.48872,-1.600654
-25.904162,-2.073524,-25.64934,-1.724913
-26.307268,-2.436601,-25.948782,-1.943753
-26.798796,-2.736137,-26.564455,-2.411263
-27.702579,-3.618985,-27.164661,-2.864178
-28.280521,-4.056051,-27.769136,-3.331547
-28.014019,-3.580638,-27.905108,-3.42685
-27.908661,-3.430725,-27.895866,-3.412693
-28.524755,-4.208846,-28.041252,-3.52249
-28.48488,-4.054363,-28.17756,-3.618465
-28.513948,-3.903069,-28.458804,-3.824823
-29.030535,-4.544968,-28.603287,-3.934899
-28.973707,-4.465629,-28.611493,-3.948353
-28.661571,-4.021315,-28.619874,-3.961932
