module,rotation,UDI-f,UDI-a,UDI-e
module_2_1,0,8.25,91.75,0
module_2_1,0,10.22,89.78,0
module_2_1,0,12.47,87.53,0
module_2_1,0,6.55,92.6,0.85
module_2_1,0,6.93,93.07,0
module_2_1,0,6.44,92.16,1.48
module_2_1,0,7.37,92.6,0
module_2_1,0,6.79,93.15,0
module_2_1,0,20.11,79.89,0
module_2_1,0,9.29,90.71,
module_2_1,0,6.38,79.04,
module_2_1,0,6.36,49.89,
module_2_1,0,6.36,50.19,
module_2_1,0,6.36,50.6,
module_2_1,0,7.78,92.22,
module_2_1,0,6.63,85.34,
module_2_1,0,6.47,74.85,
module_2_1,0,6.47,68.63,
module_2_1,0,6.49,67.89,
module_2_1,0,8.16,91.26,
module_2_1,0,7.26,86.58,
module_2_1,0,6.88,81.4,
module_2_1,0,6.88,78.66,
module_2_1,0,6.99,76.63,
module_2_1,0,9.15,89.51,
module_2_1,0,8.11,86.9,
module_2_1,0,7.62,84.41,
module_2_1,0,7.45,83.26,
module_2_1,0,7.73,82.66,
module_2_1,0,10.05,88.36,
module_2_1,0,9.04,87.1,
module_2_1,0,8.22,86.16,
module_2_1,0,8.14,83.95,
module_2_1,0,8.27,84.6,
module_2_1,0,43.07,56.93,
module_2_1,0,22.74,77.07,
module_2_1,0,25.15,70.63,
module_2_1,0,18.58,81.42,
module_2_1,0,13.12,85.12,
module_2_1,0,14.33,79.12,
module_2_1,0,21.62,78.38,
module_2_1,0,16.6,80.85,
module_2_1,0,16.3,77.7,
module_2_1,0,32.47,66.71,
module_2_1,0,25.07,72.25,
module_2_1,0,29.97,67.42,
module_2_1,0,54.38,44.99,
module_2_1,0,45.01,53.1,
module_2_1,0,40.77,57.42,
module_2_1,0,6.38,89.62,
module_2_1,0,6.36,75.51,
module_2_1,0,6.36,67.48,
module_2_1,0,6.36,65.18,
module_2_1,0,6.36,65.64,
module_2_1,0,6.36,69.12,
module_2_1,0,6.38,78.49,
module_2_1,0,6.38,87.95,
module_2_1,0,9.53,90.47,
module_2_1,0,7.59,90.88,
module_2_1,0,6.58,81.45,
module_2_1,0,6.47,73.81,
module_2_1,0,6.44,70.85,
module_2_1,0,6.47,71.81,
module_2_1,0,6.63,81.67,
module_2_1,0,9.42,90.58,
module_2_1,0,8.19,90.58,
module_2_1,0,7.26,86.93,
module_2_1,0,6.85,84.05,
module_2_1,0,6.79,82.19,
module_2_1,0,6.63,82.77,
module_2_1,0,6.63,87.42,
module_2_1,0,10.08,89.92,
module_2_1,0,9.15,90,
module_2_1,0,8.16,89.37,
module_2_1,0,7.48,89.26,
module_2_1,0,7.04,88.58,
module_2_1,0,6.82,89.62,
module_2_1,0,6.63,91.04,
module_2_1,0,11.04,88.96,
module_2_1,0,10.05,89.84,
module_2_1,0,8.79,91.01,
module_2_1,0,8,90.55,
module_2_1,0,7.45,91.92,
module_2_1,0,6.9,91.34,
module_2_1,0,6.63,92.6,
module_2_1,0,13.84,86.16,
module_2_1,0,11.01,88.99,
module_2_1,0,9.56,90.44,
module_2_1,0,8.58,91.37,
module_2_1,0,7.75,92.25,
module_2_1,0,7.01,92.99,
module_2_1,0,6.63,93.37,
module_2_1,0,100,0,
module_2_1,0,100,0,
module_2_1,0,99.97,0.03,
module_2_1,0,95.53,4.47,
module_2_1,0,66.08,33.92,
module_2_1,0,48.71,51.29,
module_2_1,0,31.04,68.96,
module_2_1,0,20.33,79.67,
module_2_1,0,14.16,85.84,
module_2_1,0,12.11,87.89,
module_2_1,0,10.63,89.37,
module_2_1,0,9.07,90.93,
module_2_1,0,8.05,91.95,
module_2_1,0,7.42,92.58,
module_2_1,0,6.85,93.15,
module_2_1,0,10,90,
module_2_1,0,10.03,89.97,
module_2_1,0,9.73,90.27,
module_2_1,0,10.08,89.92,
module_2_1,0,100,0,
module_2_1,0,100,0,
module_2_1,0,100,0,
module_2_1,0,100,0,
module_2_1,0,88.36,11.64,
module_2_1,0,34.79,65.21,
module_2_1,0,60.63,39.37,
module_2_1,0,6.96,93.04,
module_2_1,0,6.36,56.27,
module_2_1,0,6.36,44.3,
module_2_1,0,6.36,40.88,
module_2_1,0,6.36,50.33,
module_2_1,0,6.88,86.36,
module_2_1,0,6.38,85.62,
module_2_1,0,100,0,
module_2_1,0,100,0,
module_2_1,0,87.97,12.03,
module_2_1,0,95.32,4.68,
module_2_1,0,49.81,50.19,
module_2_1,0,61.95,38.05,
module_2_1,0,25.97,74.03,
module_2_1,0,15.42,84.58,
module_2_1,0,13.04,86.96,
module_2_1,0,8.63,91.37,
module_2_1,0,7.89,92.11,
module_2_1,0,9.29,90.66,
module_2_1,0,11.18,88.82,
module_2_1,0,7.42,92.55,
