module,rotation,UDI-f,UDI-a,UDI-e
module_2_1,0,61.07,38.93,0
module_2_1,0,95.21,4.79,0
module_2_1,0,98.52,1.48,0
module_2_1,0,98.66,1.34,0
module_2_1,0,98.9,1.1,0
module_2_1,0,6.36,57.92,35.73
module_2_1,0,6.36,34.58,59.07
module_2_1,0,6.38,57.81,35.81
module_2_1,0,6.47,75.42,18.11
module_2_1,0,7.7,92.25,0.05
module_2_1,0,6.88,93.01,0.11
module_2_1,0,6.66,93.23,0.11
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,11.75,88.25,0
module_2_1,45,10.11,89.89,0
module_2_1,45,8.36,91.64,0
module_2_1,45,7.1,92.9,0
module_2_1,45,6.38,84.74,8.88
module_2_1,45,11.75,88.25,0
module_2_1,45,10.08,89.92,0
module_2_1,45,8.16,91.84,0
module_2_1,45,6.66,87.29,6.05
module_2_1,45,6.38,70.88,22.74
module_2_1,45,11.67,88.33,0
module_2_1,45,9.67,90.14,0.19
module_2_1,45,7.97,89.4,2.63
module_2_1,45,6.79,85.07,8.14
module_2_1,45,6.38,73.81,19.81
module_2_1,45,11.95,88.05,0
module_2_1,45,9.56,89.21,1.23
module_2_1,45,8,88.25,3.75
module_2_1,45,6.99,85.4,7.62
module_2_1,45,8.05,88.66,3.29
module_2_1,45,16.82,83.18,0
module_2_1,45,19.04,80.36,0.6
module_2_1,45,55.29,44.71,0
module_2_1,45,6.63,90.74,2.63
module_2_1,45,6.38,84,9.62
module_2_1,45,17.01,82.99,0
module_2_1,45,20.79,79.21,0
module_2_1,45,42.63,57.37,0
module_2_1,45,6.52,86.14,7.34
module_2_1,45,6.36,70.05,23.59
module_2_1,45,19.21,80.74,0.05
module_2_1,45,19.92,80.08,0
module_2_1,45,10.25,87.34,2.41
module_2_1,45,8.3,84.99,6.71
module_2_1,45,16.14,81.92,1.95
module_2_1,45,62.6,37.4,0
module_2_1,45,37.1,62.9,0
module_2_1,45,87.21,12.79,0
module_2_1,45,96.49,3.51,0
module_2_1,45,37.01,62.99,0
module_2_1,45,22.99,77.01,0
module_2_1,45,94.41,5.59,0
module_2_1,45,48,50.79,1.21
module_2_1,45,43.04,56.96,0
module_2_1,45,97.67,2.33,0
module_2_1,45,93.86,6.14,0
module_2_1,45,64.44,35.56,0
module_2_1,45,64.9,35.1,0
module_2_1,45,97.81,2.19,0
module_2_1,45,99.04,0.96,0
module_2_1,45,97.89,2.11,0
module_2_1,45,99.78,0.22,0
module_2_1,45,99.86,0.14,0
module_2_1,45,99.86,0.14,0
module_2_1,45,99.92,0.08,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,100,0,0
module_2_1,45,6.38,80.33,13.29
module_2_1,45,6.36,64.9,28.74
module_2_1,45,6.36,64.03,29.62
module_2_1,45,6.36,66.71,26.93
module_2_1,45,6.52,90.52,2.96
module_2_1,45,6.44,84.9,8.66
module_2_1,45,6.41,81.78,11.81
module_2_1,45,7.01,92.96,0.03
module_2_1,45,6.79,90.79,2.41
module_2_1,45,6.71,88.96,4.33
module_2_1,45,7.81,92.19,0
module_2_1,45,7.62,91.73,0.66
module_2_1,45,7.45,91.32,1.23
module_2_1,45,8.82,91.18,0
module_2_1,45,8.6,91.4,0
module_2_1,45,8.82,90.99,0.19
module_2_1,45,9.67,90.33,0
module_2_1,45,9.75,90.25,0
module_2_1,45,10.22,89.78,0
module_2_1,45,10.33,89.37,0.3
module_2_1,45,19.7,80.11,0.19
module_2_1,45,54.22,45.78,0
module_2_1,45,6.36,73.26,20.38
module_2_1,45,6.38,91.95,1.67
module_2_1,45,6.36,51.26,42.38
module_2_1,45,6.36,44.93,48.71
module_2_1,45,6.36,44.08,49.56
module_2_1,45,7.4,92.6,0
module_2_1,45,8.14,91.86,0
module_2_1,45,6.85,93.15,0
module_2_1,45,8.49,91.51,0
module_2_1,45,6.36,45.45,48.19
module_2_1,45,6.36,50.44,43.21
module_2_1,45,6.36,56.3,37.34
module_2_1,45,6.36,48.74,44.9
module_2_1,45,6.38,66.08,27.53
module_2_1,45,6.49,83.29,10.22
module_2_1,45,6.85,88.55,4.6
module_2_1,45,6.47,79.12,14.41
module_2_1,45,7.1,88.63,4.27
module_2_1,45,6.68,85.29,8.03
module_2_1,45,7.51,89.86,2.63
module_2_1,45,6.38,72.79,20.82
module_2_1,45,9.95,90.05,0
module_2_1,45,10.36,89.64,0
module_2_1,45,9.07,90.19,0.74
module_2_1,45,10.58,89.42,0
module_2_1,45,11.59,88.41,0
module_2_1,45,10.63,89.37,0
module_2_1,45,10.85,89.15,0
module_2_1,45,10.74,89.26,0
module_2_1,45,10.22,89.78,0
module_2_1,45,10.27,89.73,0
module_2_1,45,10.6,89.4,0
module_2_1,45,11.59,88.41,0
module_2_1,45,17.26,82.22,0.52
module_2_1,45,8.77,90.19,1.04
module_2_1,45,88.66,11.34,0
module_2_1,45,61.48,38.52,0
module_2_1,45,54.6,45.4,0
module_2_1,45,82.11,17.89,0
module_2_1,45,13.56,86.3,0.14
module_2_1,45,11.37,88.63,0
module_2_1,45,17.51,82.47,0.03
module_2_1,45,67.07,32.93,0
module_2_1,45,84.22,15.78,0
module_2_1,45,61.15,38.85,0
module_2_1,45,31.78,68.22,0
module_2_1,45,11.45,88.55,0
module_2_1,45,7.95,90.05,2
module_2_1,45,6.71,81.48,11.81
