21 Mar 07:00,21 Mar 08:00,21 Mar 09:00,21 Mar 10:00,21 Mar 11:00,21 Mar 12:00,21 Mar 13:00,21 Mar 14:00,21 Mar 15:00,21 Mar 16:00,21 Mar 17:00,21 Mar 18:00,21 Jun 04:00,21 Jun 05:00,21 Jun 06:00,21 Jun 07:00,21 Jun 08:00,21 Jun 09:00,21 Jun 10:00,21 Jun 11:00,21 Jun 12:00,21 Jun 13:00,21 Jun 14:00,21 Jun 15:00,21 Jun 16:00,21 Jun 17:00,21 Jun 18:00,21 Jun 19:00,21 Jun 20:00,21 Jun 21:00,21 Sep 07:00,21 Sep 08:00,21 Sep 09:00,21 Sep 10:00,21 Sep 11:00,21 Sep 12:00,21 Sep 13:00,21 Sep 14:00,21 Sep 15:00,21 Sep 16:00,21 Sep 17:00,21 Sep 18:00,21 Dec 09:00,21 Dec 10:00,21 Dec 11:00,21 Dec 12:00,21 Dec 13:00,21 Dec 14:00,21 Dec 15:00
0.048831,0.168971,0.309754,0.432467,0.511107,0.53808,0.523536,0.461914,0.176283,0.059364,0.043814,0.022563,0,0.039754,0.106459,0.189279,0.247527,0.280633,0.284543,0.310647,0.350979,0.327831,0.274473,0.256756,0.18991,0.075306,0.056925,0.041657,0.021309,0.004545,0.065312,0.203548,0.313071,0.368649,0.400458,0.395541,0.356733,0.271737,0.110883,0.067616,0.043843,0.015838,0,0.030305,0.063222,0.0826,0.071223,0.048405,0.023516
0.048039,0.16824,0.309588,0.432815,0.511918,0.539477,0.525864,0.465737,0.268737,0.064049,0.046622,0.023088,0,0.029613,0.074832,0.179951,0.244773,0.280108,0.285141,0.311935,0.353129,0.331229,0.279701,0.26466,0.238242,0.097706,0.070598,0.044457,0.021765,0.004608,0.064499,0.202939,0.313039,0.369134,0.401501,0.39726,0.359322,0.289756,0.157853,0.072656,0.046356,0.016388,0,0.030578,0.064005,0.083872,0.074564,0.053174,0.024148
0.031857,0.164331,0.306161,0.430158,0.509843,0.537905,0.524961,0.466037,0.32612,0.065877,0.047366,0.022698,0,0.02591,0.05751,0.103734,0.220441,0.271833,0.279606,0.308136,0.350343,0.329915,0.280803,0.268569,0.26672,0.169267,0.071208,0.044006,0.021447,0.00452,0.050379,0.199065,0.309737,0.366524,0.399363,0.39572,0.358655,0.290612,0.198775,0.074545,0.046882,0.016218,0,0.029551,0.062598,0.082663,0.073716,0.052776,0.023939
0.031695,0.163968,0.305709,0.429683,0.509359,0.537418,0.524481,0.465596,0.325763,0.065637,0.047269,0.022534,0,0.02527,0.056088,0.101557,0.218399,0.270163,0.278195,0.306987,0.349246,0.32892,0.280022,0.26808,0.266769,0.169785,0.072367,0.055086,0.021318,0.004478,0.050102,0.198673,0.30926,0.366011,0.398798,0.395168,0.358187,0.290219,0.198416,0.074286,0.046779,0.016176,0,0.029379,0.062256,0.082253,0.073339,0.05249,0.02376
0.047421,0.167173,0.308528,0.43192,0.511227,0.539087,0.526045,0.467061,0.327093,0.066788,0.048061,0.023084,0,0.027208,0.061704,0.167152,0.239691,0.27693,0.283008,0.310585,0.352504,0.331906,0.282605,0.270205,0.268031,0.170334,0.072137,0.04469,0.021695,0.004575,0.063727,0.201849,0.311991,0.368249,0.400819,0.39697,0.35971,0.291581,0.199813,0.075499,0.047505,0.016493,0,0.030215,0.063536,0.083551,0.07449,0.053363,0.02422
0.030436,0.160754,0.302138,0.426743,0.506958,0.535343,0.522582,0.46382,0.324109,0.064094,0.046031,0.021716,0,0.023371,0.051066,0.090392,0.161338,0.258936,0.270567,0.301756,0.344767,0.324927,0.276566,0.265059,0.264481,0.167964,0.0708,0.053878,0.020734,0.004344,0.048301,0.195197,0.305703,0.363033,0.396165,0.392905,0.356339,0.288492,0.196583,0.072519,0.045554,0.015655,0,0.028431,0.060694,0.080615,0.071887,0.051373,0.023132
0.014792,0.112159,0.300281,0.425589,0.506157,0.534717,0.522054,0.463361,0.323708,0.063768,0.045842,0.021714,0,0.023252,0.050712,0.089412,0.159655,0.257638,0.269689,0.30108,0.344195,0.32438,0.276,0.264472,0.263901,0.167424,0.070263,0.053453,0.020698,0.004345,0.022795,0.176107,0.304044,0.361978,0.395404,0.392302,0.355835,0.2881,0.196166,0.072196,0.045382,0.015599,0,0.027949,0.060157,0.080238,0.071597,0.051183,0.023116
0.015447,0.113602,0.302002,0.42724,0.507686,0.53615,0.523428,0.464671,0.32493,0.064894,0.046729,0.022262,0,0.024799,0.054426,0.095884,0.185265,0.263472,0.274038,0.304369,0.347211,0.327184,0.2785,0.266705,0.265649,0.168859,0.071552,0.054499,0.021143,0.004441,0.023691,0.17766,0.305815,0.3637,0.397107,0.393876,0.357179,0.28936,0.197518,0.073498,0.046282,0.015963,0,0.028571,0.061219,0.081385,0.07264,0.051993,0.023557
0.031455,0.163426,0.305075,0.429089,0.508822,0.536924,0.524015,0.465151,0.325339,0.065229,0.046923,0.022288,0,0.024744,0.054565,0.098509,0.215223,0.267771,0.276393,0.30566,0.348051,0.327836,0.279089,0.267274,0.266173,0.169319,0.071974,0.054778,0.021141,0.004436,0.049751,0.19809,0.308604,0.365385,0.398186,0.394615,0.357731,0.289769,0.197936,0.073808,0.046437,0.016026,0,0.029188,0.061903,0.081842,0.072964,0.052193,0.023573
0.048046,0.168283,0.309672,0.432953,0.512154,0.539917,0.526753,0.467549,0.327218,0.066475,0.047636,0.023245,0,0.029354,0.074557,0.17983,0.244774,0.280297,0.285482,0.31245,0.354087,0.333049,0.282928,0.269107,0.241441,0.099031,0.071151,0.044695,0.021862,0.004626,0.064517,0.202992,0.313138,0.369305,0.401823,0.397849,0.360366,0.291928,0.199761,0.075002,0.047163,0.016528,0,0.030645,0.064211,0.084224,0.075059,0.053743,0.024398
0.048046,0.168283,0.309672,0.432953,0.512154,0.539917,0.526753,0.467549,0.327218,0.066475,0.047636,0.023245,0,0.029354,0.074557,0.17983,0.244774,0.280297,0.285482,0.31245,0.354087,0.333049,0.282928,0.269107,0.241441,0.099031,0.071151,0.044695,0.021862,0.004626,0.064517,0.202992,0.313138,0.369305,0.401823,0.397849,0.360366,0.291928,0.199761,0.075002,0.047163,0.016528,0,0.030645,0.064211,0.084224,0.075059,0.053743,0.024398
0.016448,0.116115,0.304714,0.42941,0.509441,0.53767,0.52483,0.465993,0.32617,0.066045,0.047633,0.02284,0,0.026489,0.058387,0.103722,0.219272,0.270968,0.279187,0.307986,0.350364,0.330038,0.281005,0.268918,0.267342,0.170215,0.072723,0.055395,0.021549,0.004534,0.025082,0.180364,0.308488,0.365878,0.399013,0.395525,0.358546,0.29063,0.198869,0.074788,0.047166,0.016337,0,0.029301,0.062388,0.082585,0.073703,0.052809,0.023999
0.032149,0.164845,0.306711,0.43068,0.51034,0.53839,0.525451,0.466529,0.326602,0.066333,0.047722,0.02292,0,0.027063,0.059823,0.106409,0.222516,0.273373,0.280872,0.309201,0.35139,0.33093,0.281729,0.269403,0.267361,0.16978,0.071652,0.044346,0.021596,0.004555,0.050734,0.199598,0.310297,0.367068,0.399919,0.396259,0.359138,0.29108,0.199281,0.075034,0.047215,0.01636,0,0.029775,0.062978,0.083078,0.074104,0.053084,0.024107
0.032678,0.165924,0.307755,0.431501,0.510994,0.538948,0.525961,0.467009,0.327057,0.066764,0.048069,0.02315,0,0.0277,0.062031,0.162706,0.238527,0.276402,0.282832,0.310552,0.352565,0.331995,0.282669,0.270238,0.268001,0.170296,0.072097,0.044685,0.021743,0.004588,0.051432,0.20071,0.311317,0.367888,0.400627,0.396864,0.359636,0.291554,0.199787,0.075522,0.047548,0.016506,0,0.030068,0.06343,0.083531,0.074503,0.053391,0.024269
0.047931,0.168059,0.309381,0.432619,0.511789,0.53953,0.526355,0.467158,0.32686,0.066171,0.047435,0.023154,0,0.029012,0.074023,0.179199,0.244191,0.279689,0.28486,0.311834,0.353444,0.332403,0.282316,0.268541,0.240984,0.098651,0.070806,0.044427,0.021771,0.004607,0.064372,0.202751,0.312832,0.368952,0.40142,0.397431,0.359973,0.291593,0.1994,0.074677,0.046954,0.016457,0,0.030475,0.063932,0.083934,0.074789,0.053537,0.024306
0.047829,0.167897,0.309252,0.432546,0.511775,0.539591,0.526534,0.467543,0.327566,0.067242,0.048422,0.023318,0,0.028312,0.072469,0.177446,0.24295,0.279043,0.284544,0.311761,0.3536,0.33294,0.283535,0.271039,0.268673,0.17085,0.072579,0.045026,0.02184,0.00461,0.064229,0.202591,0.312712,0.368889,0.401423,0.397525,0.360191,0.29205,0.20032,0.075987,0.047838,0.016641,0,0.030463,0.063939,0.083976,0.074878,0.053669,0.024385
0.047963,0.168141,0.309553,0.432879,0.512134,0.539971,0.526928,0.467936,0.327933,0.067559,0.048634,0.023416,0,0.028792,0.073183,0.178226,0.243628,0.279694,0.285185,0.312384,0.354244,0.333586,0.284147,0.271605,0.269129,0.171225,0.072915,0.045283,0.021925,0.004628,0.064391,0.20285,0.313026,0.36924,0.401818,0.397936,0.360582,0.292385,0.200682,0.076314,0.048046,0.016716,0,0.030631,0.064213,0.084265,0.075147,0.053875,0.024478
0.048276,0.168075,0.308757,0.431426,0.509995,0.53685,0.522104,0.460204,0.174295,0.057206,0.042013,0.02196,0,0.039071,0.104956,0.187278,0.24566,0.278652,0.282392,0.308365,0.348128,0.324104,0.269485,0.249784,0.151271,0.069857,0.053931,0.040103,0.020773,0.004448,0.064647,0.202622,0.312039,0.367532,0.399164,0.394114,0.355256,0.269986,0.108602,0.065167,0.042205,0.015321,0,0.029886,0.062432,0.081626,0.070252,0.047562,0.022985
0.047436,0.165921,0.305636,0.427617,0.505389,0.530948,0.513711,0.380532,0.060466,0.048552,0.036419,0.020029,0,0.03757,0.102062,0.182468,0.240467,0.271853,0.274294,0.299054,0.335166,0.304816,0.221501,0.149707,0.085566,0.057736,0.044628,0.03345,0.018806,0.0041,0.063439,0.200226,0.308657,0.363303,0.393604,0.386948,0.346112,0.161937,0.064993,0.055756,0.036883,0.01373,0,0.028153,0.058944,0.07714,0.065442,0.043276,0.020844
0.046717,0.163991,0.302763,0.424006,0.500921,0.525308,0.506638,0.372721,0.053365,0.042572,0.031951,0.018091,0,0.037835,0.100488,0.177841,0.235274,0.264913,0.265382,0.287733,0.316993,0.251174,0.132781,0.099558,0.069704,0.049028,0.038953,0.02949,0.016768,0.003698,0.062194,0.198057,0.305488,0.359187,0.388004,0.38,0.338792,0.154008,0.057151,0.048953,0.032568,0.012312,0,0.02692,0.056151,0.073243,0.061551,0.040024,0.018714
0.04686,0.164543,0.303668,0.425173,0.502348,0.527029,0.508657,0.374883,0.055408,0.044423,0.033435,0.01877,0,0.036544,0.099967,0.179086,0.236852,0.267212,0.26844,0.291639,0.323071,0.260027,0.142228,0.107179,0.075064,0.052117,0.040933,0.030879,0.017494,0.003841,0.06252,0.198699,0.306501,0.360525,0.389799,0.382106,0.340852,0.156226,0.059471,0.051136,0.034031,0.012801,0,0.027288,0.057017,0.074473,0.062759,0.041032,0.01943
0.047574,0.166225,0.306046,0.428077,0.505874,0.531443,0.514206,0.381015,0.060926,0.048988,0.036783,0.02021,0,0.037796,0.102505,0.183136,0.241147,0.272676,0.275196,0.299971,0.336171,0.305867,0.222533,0.150732,0.086519,0.058617,0.045508,0.034233,0.01905,0.00414,0.063619,0.200558,0.309091,0.363796,0.394154,0.387497,0.3466,0.162425,0.065536,0.05631,0.037296,0.013877,0,0.028375,0.059331,0.077562,0.065833,0.043583,0.021007
0.047804,0.166746,0.306774,0.428992,0.507068,0.533142,0.516843,0.384729,0.064233,0.051451,0.038416,0.020732,0,0.038178,0.103282,0.184376,0.242453,0.274348,0.277276,0.302554,0.340267,0.31278,0.245051,0.159445,0.124044,0.062409,0.04741,0.035257,0.019496,0.004228,0.063959,0.201129,0.309886,0.364837,0.395654,0.389639,0.349502,0.166269,0.069039,0.058959,0.03876,0.014289,0,0.028743,0.060158,0.078728,0.067114,0.044724,0.02162
0.047103,0.165104,0.304445,0.42609,0.503396,0.52823,0.510053,0.376465,0.057017,0.045903,0.034559,0.019243,0,0.036986,0.100847,0.180458,0.238277,0.268979,0.270516,0.293978,0.32623,0.264447,0.148122,0.123372,0.079456,0.054454,0.042432,0.031932,0.018007,0.003939,0.062889,0.199317,0.30734,0.361542,0.391056,0.383527,0.342286,0.157848,0.061299,0.052846,0.035127,0.013157,0,0.027654,0.057757,0.075416,0.063682,0.041803,0.01992
