21 Mar 08:00,21 Mar 09:00,21 Mar 10:00,21 Mar 11:00,21 Mar 12:00,21 Mar 13:00,21 Mar 14:00,21 Mar 15:00,21 Mar 16:00,21 Mar 17:00,21 Mar 18:00,21 Mar 19:00,21 Jun 06:00,21 Jun 07:00,21 Jun 08:00,21 Jun 09:00,21 Jun 10:00,21 Jun 11:00,21 Jun 12:00,21 Jun 13:00,21 Jun 14:00,21 Jun 15:00,21 Jun 16:00,21 Jun 17:00,21 Jun 18:00,21 Jun 19:00,21 Jun 20:00,21 Sep 07:00,21 Sep 08:00,21 Sep 09:00,21 Sep 10:00,21 Sep 11:00,21 Sep 12:00,21 Sep 13:00,21 Sep 14:00,21 Sep 15:00,21 Sep 16:00,21 Sep 17:00,21 Sep 18:00,21 Sep 19:00,21 Dec 09:00,21 Dec 10:00,21 Dec 11:00,21 Dec 12:00,21 Dec 13:00,21 Dec 14:00,21 Dec 15:00,21 Dec 16:00,21 Dec 17:00
0.048545,0.059298,0.065783,0.067079,0.070398,0.069377,0.067921,0.062987,0.057336,0.044341,0.019167,0.000749,0.032481,0.050583,0.060309,0.066109,0.066633,0.067902,0.069422,0.082337,0.158593,0.116174,0.111017,0.068747,0.055961,0.027563,0.001135,0.026159,0.049523,0.064077,0.06631,0.071503,0.071342,0.065806,0.062715,0.052067,0.040972,0.027856,0.011564,0,0.042324,0.052102,0.056912,0.060199,0.057597,0.049679,0.039399,0.025205,0.003349
0.048032,0.058584,0.064972,0.066266,0.069689,0.068931,0.067959,0.063529,0.057792,0.044485,0.019139,0.000774,0.032236,0.050097,0.059709,0.065426,0.065911,0.067243,0.069063,0.082871,0.160533,0.287636,0.155071,0.130699,0.056699,0.027648,0.001174,0.026243,0.049846,0.064383,0.066374,0.071703,0.07216,0.067053,0.064117,0.053885,0.042347,0.02844,0.011649,0,0.041854,0.051456,0.056221,0.059545,0.057163,0.049836,0.039768,0.025301,0.003468
0.049158,0.059772,0.066126,0.067246,0.070708,0.070391,0.070444,0.084949,0.079659,0.049712,0.021276,0.000854,0.032937,0.051231,0.061055,0.066822,0.067026,0.068297,0.070628,0.085866,0.165635,0.295794,0.415467,0.479219,0.179005,0.05677,0.001299,0.027559,0.05296,0.06816,0.069537,0.075167,0.07686,0.072263,0.069784,0.08205,0.054812,0.033428,0.013096,0,0.042713,0.052371,0.057197,0.060576,0.058751,0.052681,0.042937,0.027148,0.003842
0.053309,0.064872,0.072171,0.072894,0.076649,0.076127,0.076952,0.093487,0.249079,0.106856,0.026672,0.000934,0.03506,0.055317,0.066124,0.073032,0.072722,0.074176,0.076269,0.092203,0.173364,0.305155,0.428106,0.495631,0.373756,0.214725,0.001427,0.029743,0.058051,0.074716,0.075854,0.082406,0.084357,0.080026,0.078853,0.102025,0.126622,0.049677,0.016633,0,0.046144,0.056602,0.06178,0.065537,0.064006,0.058864,0.050861,0.037049,0.004225
0.054442,0.066197,0.073516,0.07407,0.077791,0.077593,0.079083,0.096938,0.254938,0.305753,0.060976,0.00097,0.035698,0.056571,0.067617,0.07468,0.074069,0.075384,0.077615,0.094133,0.176123,0.308972,0.434151,0.504586,0.469698,0.217385,0.001486,0.030586,0.060126,0.077298,0.078163,0.084871,0.08738,0.083275,0.082646,0.107098,0.134147,0.12722,0.023212,0,0.046947,0.057587,0.062892,0.066715,0.065695,0.061411,0.054111,0.042982,0.004401
0.056864,0.06915,0.076765,0.077405,0.081222,0.081115,0.082735,0.1007,0.258866,0.30917,0.062341,0.000985,0.03721,0.058984,0.070486,0.077889,0.077317,0.078682,0.080894,0.097421,0.179479,0.312327,0.437433,0.507586,0.471967,0.218333,0.001508,0.031556,0.061869,0.079668,0.080861,0.087756,0.090148,0.085957,0.085584,0.109832,0.13674,0.129208,0.023942,0,0.049003,0.060135,0.065702,0.06966,0.068671,0.064038,0.056606,0.04524,0.004468
0.06526,0.079656,0.08825,0.089968,0.093708,0.092327,0.090653,0.085107,0.077846,0.060802,0.026489,0.000876,0.042658,0.066682,0.079612,0.087573,0.088576,0.090357,0.091827,0.105085,0.182584,0.287993,0.177219,0.153449,0.078104,0.099736,0.001331,0.033129,0.062142,0.081167,0.085286,0.091773,0.090853,0.084227,0.081084,0.068235,0.053673,0.03695,0.015654,0,0.056781,0.069806,0.076071,0.07984,0.076412,0.064978,0.050844,0.03307,0.003936
0.060536,0.073764,0.081745,0.0832,0.086951,0.085991,0.0852,0.081139,0.075063,0.058673,0.025504,0.000898,0.039771,0.062137,0.074174,0.081565,0.082217,0.083898,0.08578,0.100272,0.179693,0.309115,0.427206,0.32808,0.165154,0.099246,0.001366,0.031778,0.060263,0.078303,0.081354,0.087782,0.088064,0.082314,0.079597,0.068584,0.054964,0.037247,0.015356,0,0.052623,0.064601,0.070425,0.074137,0.071341,0.062018,0.049387,0.031786,0.004042
0.058669,0.071428,0.079149,0.080491,0.084256,0.08353,0.083255,0.098842,0.091136,0.058826,0.025444,0.000909,0.038638,0.060366,0.072045,0.079204,0.079685,0.081308,0.083379,0.098527,0.179209,0.309587,0.429158,0.492776,0.191037,0.099131,0.001385,0.031292,0.059663,0.077335,0.079921,0.086331,0.087201,0.081901,0.079734,0.090936,0.061272,0.038247,0.015425,0,0.05096,0.062521,0.068181,0.071886,0.069429,0.061113,0.049179,0.031516,0.004099
0.061805,0.075438,0.083656,0.085234,0.088955,0.087689,0.086312,0.081138,0.074149,0.05788,0.025283,0.000864,0.040505,0.063341,0.075637,0.083226,0.084061,0.085783,0.087333,0.100937,0.178967,0.306292,0.173685,0.15006,0.075397,0.098603,0.001314,0.031831,0.059981,0.078168,0.081761,0.08813,0.087611,0.081423,0.078456,0.066097,0.052015,0.035692,0.015063,0,0.053787,0.066124,0.072082,0.075794,0.07261,0.062196,0.048963,0.031682,0.003885
0.060249,0.073542,0.08159,0.083096,0.086792,0.085542,0.084217,0.079162,0.072382,0.056533,0.024736,0.000858,0.039531,0.061837,0.073849,0.08127,0.082028,0.083711,0.085271,0.099004,0.177357,0.30477,0.172012,0.148513,0.074166,0.098098,0.001304,0.031233,0.058976,0.076778,0.080137,0.086431,0.086027,0.079959,0.07702,0.064874,0.051145,0.035088,0.014791,0,0.052439,0.064469,0.070283,0.073963,0.070868,0.060877,0.048052,0.031031,0.003855
0.059259,0.072066,0.079737,0.080862,0.08458,0.084163,0.084685,0.102038,0.244725,0.099415,0.028306,0.000956,0.038925,0.061033,0.072859,0.080079,0.080226,0.081713,0.084005,0.099936,0.181639,0.313399,0.435711,0.502668,0.465737,0.141323,0.001459,0.032072,0.061733,0.079838,0.081939,0.088523,0.090206,0.085285,0.083657,0.106699,0.122769,0.051386,0.017209,0,0.051321,0.062924,0.068632,0.072363,0.07045,0.063301,0.052031,0.033374,0.004321
0.060319,0.073388,0.081412,0.082349,0.086166,0.085654,0.086472,0.104194,0.259426,0.115104,0.030445,0.000978,0.039393,0.062114,0.074224,0.081904,0.081809,0.083373,0.085481,0.101564,0.183567,0.315733,0.439063,0.507501,0.472163,0.218604,0.001495,0.032608,0.063141,0.081643,0.083638,0.090568,0.092254,0.087453,0.086379,0.109498,0.132872,0.054399,0.018676,0,0.052156,0.063968,0.069773,0.073662,0.071901,0.065248,0.055683,0.040638,0.004429
0.063215,0.07689,0.085344,0.086092,0.089964,0.089633,0.091104,0.109441,0.267001,0.31636,0.066558,0.00102,0.041045,0.065105,0.07782,0.086133,0.085723,0.087282,0.08929,0.105772,0.188368,0.321398,0.446737,0.517487,0.481488,0.222836,0.001563,0.034012,0.066253,0.085683,0.08768,0.095027,0.096892,0.092201,0.0919,0.115479,0.141203,0.13329,0.03241,0,0.054447,0.066794,0.072879,0.076965,0.075547,0.069307,0.060147,0.047522,0.004632
0.064655,0.078636,0.08745,0.088001,0.091992,0.091961,0.09422,0.11326,0.273027,0.324927,0.167653,0.001046,0.041827,0.066768,0.079818,0.088753,0.087966,0.089529,0.091339,0.108115,0.191186,0.324807,0.45138,0.523098,0.486286,0.224909,0.001604,0.034678,0.06798,0.087891,0.089853,0.097601,0.099481,0.095006,0.095823,0.119532,0.147334,0.147379,0.085384,0,0.05546,0.068084,0.074377,0.078753,0.077759,0.072203,0.064163,0.051404,0.004754
